Date,Title,Link,Description,Source,Generated
2026-03-03T16:53:35.000Z,"Almedia sucht QA Engineer in Berlin, Deutschland",https://de.linkedin.com/jobs/view/qa-engineer-at-almedia-4339366784,"This isn’t your regular job. Almedia is a place where those who want to push harder can accelerate their careers faster than anywhere else. We’re aiming to become Germany’s second bootstrapped unicorn. Almedia is already Europe’s #3 fastest-growing company in 2025 (FT1000). We are building the future of marketing by rewarding our community of over 60 million users for engaging with our advertisers’ products. We are offering a new way to acquire users for the biggest companies in the world. At Almedia, You’ll Own way more, way earlier — you’ll be trusted with responsibility fast. Push harder, get further — this isn’t a 9–5. We highly reward intensity. Join a rare environment — you will work with ambitious high-speed, high-ownership people. Fully present — we’re 5 days a week in the office to build the energising momentum we need. QA Engineer Our team is on a mission to deliver outstanding software, and we're looking for a curious and detail-oriented QA Engineer to join us on this journey! If you love digging into products, advocating for users, and want to grow your career with a supportive team, we think you'll feel right at home here. As a vital member of our product team, you'll be the guardian of our quality, ensuring that we ship amazing, reliable features to our users. What You’ll Do 🎯 Become a product expert, meticulously testing our web and mobile apps to ensure every feature is polished and intuitive for our users. Be the user's champion. You'll partner with Product Managers to understand the 'why' behind features, making sure our testing is always focused on creating the best possible experience. Help us learn and iterate faster by validating A/B tests and other experiments, ensuring the data we collect is accurate and reliable. Be a detective! You'll hunt down, document, and track bugs, working closely with developers to see them squashed. Grow with us. You won't just be testing; you'll be learning and contributing to our test automation efforts using modern tools like Cypress or Playwright. Be an active voice in our team's rhythm, participating in daily stand-ups, sprint planning, and retrospectives. What You’ll Bring 💡 Around 2 years of experience in a software testing role. A solid understanding of QA fundamentals (you know your way around functional, regression, and exploratory testing). Familiarity with tools that help teams stay organised, like Linear.app, AI testing tools, or GitLab before. Some exposure to a scripting language like JavaScript or TypeScript (curiosity is more important than expertise!). Experience with product analytics tools like Amplitude. What Makes You a Great Fit 🌟 You're deeply product-oriented. You naturally put yourself in the user's shoes and are always thinking about how to make the product better. You have a genuine curiosity for how things work and are excited to dive into test automation and new technologies. You believe the best work happens when we do it together. You communicate openly, ask questions, and value different perspectives. You thrive in a dynamic, agile environment where you can make a real impact. Why Almedia? 🚀 Own Our Growth: We offer all Berlin-based employees equity in Almedia to truly be a part of our success. Scale With Almedia: Grow alongside a startup that has been profitable from day one. Central Berlin Office: Work from a fully-stocked modern office built for collaboration, accessible from all around Berlin. Other Benefits: Transport subsidy, breakfasts and lunches, language learning, Urban Sports Club, and more. We believe in fostering talent, evaluating all skill levels during the hiring process, and providing a clear path for growth. Almedia is an equal opportunity employer. We embrace and celebrate diversity, and encourage individuals from all backgrounds to apply.",LinkedIn Playwright/Selenium,
2026-03-03T14:55:54.000Z,apo.com Group sucht QA Engineer (m/w/d) in Markkleeberg,https://de.linkedin.com/jobs/view/qa-engineer-m-w-d-at-apo-com-group-4378504266,"Werde Teil unseres Teams und gestalte die Gesundheitsversorgung von morgen! Qualität. Struktur. Verlässlichkeit. Du willst Software nicht nur testen, sondern aktiv zur Qualität unserer Produkte beitragen? Als QA Engineer (m/w/d) stellst du gemeinsam mit Entwicklung und Product Management sicher, dass unsere Anwendungen stabil, performant und nutzerfreundlich sind. Wir suchen eine Persönlichkeit, die manuelles Testen souverän beherrscht und gleichzeitig praktische Erfahrung in der Testautomatisierung mit Cypress mitbringt. Deine Aufgaben bei uns Prüfen. Automatisieren. Optimieren. Testkonzeption: Erstellung von Testplänen, Testfällen und Testscripten zur Sicherstellung einer hohen Produktqualität Manuelles & automatisiertes Testing: Durchführung von Funktions-, Regressions- und End-to-End-Tests – sowohl manuell als auch automatisiert mit Cypress Fehleranalyse: Identifikation, Dokumentation und strukturierte Nachverfolgung von Bugs und Issues Automatisierungsstrategie: Pflege und Weiterentwicklung bestehender Testautomatisierungs-Frameworks sowie Ausbau der Automatisierungsabdeckung Prozessintegration: Enge Zusammenarbeit mit Entwickler:innen und Product Manager:innen, um Testing frühzeitig in den Entwicklungsprozess zu integrieren Dokumentation & Reporting: Transparente Aufbereitung und Kommunikation von Testergebnissen Qualitätsentwicklung: Kontinuierliche Verbesserung von Testpraktiken und aktiver Beitrag zur übergreifenden Qualitätsstrategie Das bringst du mit Testexpertise. Detailgenauigkeit. Teamgeist. Erfahrung: Mehrjährige Erfahrung als QA Engineer mit Fokus auf manuelles und automatisiertes Testing Automatisierung: Praktische Erfahrung mit Testautomatisierungstools, wie z.B. Cypress Technologieverständnis: Kenntnisse in HTML, CSS, JavaScript sowie modernen Web-Frameworks CI/CD-Know-how: Erfahrung mit der Integration automatisierter Tests in CI/CD-Pipelines Methodenkompetenz: Gutes Verständnis von Softwareentwicklungszyklen (SDLC), Testmethoden und QA-Best Practices Arbeitsweise: Selbstständig, strukturiert und lösungsorientiert – mit einem hohen Qualitätsanspruch Kommunikation: Sehr gute schriftliche und mündliche Kommunikationsfähigkeiten Nice to have Erfahrung mit API-Testing-Tools (z. B. Postman, REST-assured) Kenntnisse in Cloud-Umgebungen und Deployment-Prozessen Erfahrung mit Versionsverwaltungssystemen wie Git Das bieten wir dir Safety First: Einen unbefristeten Arbeitsvertrag Flexibilität: Moderne Arbeitsumgebung, flexible Arbeitszeiten und ein internationales Team Work Location: 0-100% Remote Work innerhalb Deutschlands, ganz deinem Wunsch entsprechend Gute Arbeit zahlt sich aus: Eine leistungsgerechte Vergütung Happy Holiday: 30 Tage Urlaub pro Jahr Es gibt immer etwas zu lernen: Schulungen, Workshops und Side-By-Side-Coaching, wir unterstützen dich bei deiner Weiterentwicklung Fit durch die Freizeit: JobRad-Kooperation, kostenlose Nutzung unseres firmeneigenen Fitnessraums Nachhaltig unterwegs: Kostenfreie Nutzung unserer E-Ladesäulen am Standort Markkleeberg Weitere Benefits: Sehr gute Sozialleistungen u.a. mit eigener, subventionierter Kantine, Corporate Benefits, kostenfreier Getränkeversorgung (Tee, Kaffee, Softgetränke), Personalrabatte, moderner Ausrüstung, Team- und Firmenevents u.v.m. Wir freuen uns auf deine aussagekräftige Bewerbung, in der du uns auch deinen Gehaltswunsch und dein mögliches Eintrittsdatum mitteilst. Über uns Die apo.com Group ist eine der führenden Online-Apotheken im deutschen Markt mit drei Standorten in Europa. Wir stehen für Innovation und Nachhaltigkeit gepaart mit einer ausgeprägten Leidenschaft für intelligente Technologien und Digitalisierung. Dafür setzen wir auf pharmazeutische Kompetenz, innovative digitale Services und KI gestützte Logistik Technologie. Wir unterstützen Menschen dabei, gesund zu werden und gesund zu bleiben.",LinkedIn Playwright/Selenium,
2026-03-02T17:52:34.000Z,Netconomy sucht Quality Assurance Specialist (f/m/x) in Berlin,https://de.linkedin.com/jobs/view/quality-assurance-specialist-f-m-x-at-netconomy-4377780826,"As a leading expert for Digital Platform Building and Customer Experience Innovation, NETCONOMY is shaping the digital leadership of its clients. We help brands to build flexible and scalable digital platforms, with top-notch technologies by SAP, Google Cloud and Microsoft Azure. NETCONOMY has 20 years of experience and employs close to 500 professionals across Europe. By introducing and driving innovation initiatives around customer experience, we support clients on the road of expanding their core business in the digital world. Over the past 25 years, NETCONOMY has grown from a startup into a team of 450+ experts across ten European locations. We believe in the power of agile and cross-functional collaboration, bringing together people from diverse backgrounds to build outstanding digital solutions. YOUR JOB We are looking for a Senior Release & Quality Assurance Specialist to steer and own quality within our project teams. In this role, you will collaborate closely with both the team and the client, taking ownership of quality in projects that do not have dedicated testing roles. You will be responsible for developing and implementing quality strategies based on project and client needs, proactively driving improvements, and mitigating potential quality risks. Your expertise in test automation, release management, and quality management will be instrumental in ensuring high-quality standards throughout the entire Software Development Life Cycle (SDLC). Your Job’s Key Responsibilities Are Defining the quality strategy based on the project vision and quality goals Planning and executing the releasing process as well as consulting the client on different releasing strategies Driving Test Automation including a fitting strategy and contributing hands-on to API, Load and UI tests Collaborating closely with the client on quality and identified defects Driving our model for Quality Assurance within the team and project to identify improvement potentials and risks Tracking and forecasting of relevant quality metrics, implementing corrective actions to support continuous improvement and steering the quality based on facts Contributing to the development of the department by sharing knowhow and collaborating with its department members Your Skills Essential Skills 5+ years of professional experience in IT or software development area Fluent communication skills in German (C1) and English (B2/C1) In-depth understanding of the differences between quality control, quality assurance, and quality management Extensive expertise in implementing and managing quality assurance processes throughout the project lifecycle Profound practical experience in test automation (e.g. using Cypress/Playwright, Gatling/jMeter, restAssured) Professional handling of stakeholders Beneficial Skills First hands-on experience with AI in the area of test automation and increasing your efficiency Broad working experience with agile development processes (SCRUM, KANBAN, etc.) Solid skills in programming Relevant certifications in the quality testing field (e.g. ISTQB) OUR OFFER While we’re one company, each location has unique aspects and benefits. Here’s a glimpse of what to expect: Flexible Working Models: Early bird or night owl? Thanks to our flexible working models, you start your workday when and where it fits you best. Plus, our hybrid work option lets you choose whether you prefer working more from the office or from home. Career Development and Onboarding: Start your journey at NETCONOMY with a structured onboarding and mentoring phase and continue with individual training opportunities. Our People Enablement team will support you in finding the best solution for you! Company Summit: Exchange professional and personal experiences at our annual in-house conference! One of the highlights of our company Summit is the vibrant networking environment it cultivates. Social Events: Join our colleagues and build new connections at our social events such as pizza evenings, sports activities, Christmas parties, or milestone celebrations. Snacks and Wellbeing: Fuel your productivity and taste buds with our monthly meal allowance and discounts at partner restaurants. Mobility Support: Choose eco-friendly transportation! As we take our responsibility for the environment seriously, we support your climate-friendly transportation costs.",LinkedIn Playwright/Selenium,
2026-03-02T17:52:34.000Z,Netconomy sucht Quality Assurance Specialist (f/m/x) in Dortmund,https://de.linkedin.com/jobs/view/quality-assurance-specialist-f-m-x-at-netconomy-4377788677,"As a leading expert for Digital Platform Building and Customer Experience Innovation, NETCONOMY is shaping the digital leadership of its clients. We help brands to build flexible and scalable digital platforms, with top-notch technologies by SAP, Google Cloud and Microsoft Azure. NETCONOMY has 20 years of experience and employs close to 500 professionals across Europe. By introducing and driving innovation initiatives around customer experience, we support clients on the road of expanding their core business in the digital world. Over the past 25 years, NETCONOMY has grown from a startup into a team of 450+ experts across ten European locations. We believe in the power of agile and cross-functional collaboration, bringing together people from diverse backgrounds to build outstanding digital solutions. YOUR JOB We are looking for a Senior Release & Quality Assurance Specialist to steer and own quality within our project teams. In this role, you will collaborate closely with both the team and the client, taking ownership of quality in projects that do not have dedicated testing roles. You will be responsible for developing and implementing quality strategies based on project and client needs, proactively driving improvements, and mitigating potential quality risks. Your expertise in test automation, release management, and quality management will be instrumental in ensuring high-quality standards throughout the entire Software Development Life Cycle (SDLC). Your Job’s Key Responsibilities Are Defining the quality strategy based on the project vision and quality goals Planning and executing the releasing process as well as consulting the client on different releasing strategies Driving Test Automation including a fitting strategy and contributing hands-on to API, Load and UI tests Collaborating closely with the client on quality and identified defects Driving our model for Quality Assurance within the team and project to identify improvement potentials and risks Tracking and forecasting of relevant quality metrics, implementing corrective actions to support continuous improvement and steering the quality based on facts Contributing to the development of the department by sharing knowhow and collaborating with its department members Your Skills Essential Skills 5+ years of professional experience in IT or software development area Fluent communication skills in German (C1) and English (B2/C1) In-depth understanding of the differences between quality control, quality assurance, and quality management Extensive expertise in implementing and managing quality assurance processes throughout the project lifecycle Profound practical experience in test automation (e.g. using Cypress/Playwright, Gatling/jMeter, restAssured) Professional handling of stakeholders Beneficial Skills First hands-on experience with AI in the area of test automation and increasing your efficiency Broad working experience with agile development processes (SCRUM, KANBAN, etc.) Solid skills in programming Relevant certifications in the quality testing field (e.g. ISTQB) OUR OFFER While we’re one company, each location has unique aspects and benefits. Here’s a glimpse of what to expect: Flexible Working Models: Early bird or night owl? Thanks to our flexible working models, you start your workday when and where it fits you best. Plus, our hybrid work option lets you choose whether you prefer working more from the office or from home. Career Development and Onboarding: Start your journey at NETCONOMY with a structured onboarding and mentoring phase and continue with individual training opportunities. Our People Enablement team will support you in finding the best solution for you! Company Summit: Exchange professional and personal experiences at our annual in-house conference! One of the highlights of our company Summit is the vibrant networking environment it cultivates. Social Events: Join our colleagues and build new connections at our social events such as pizza evenings, sports activities, Christmas parties, or milestone celebrations. Snacks and Wellbeing: Fuel your productivity and taste buds with our monthly meal allowance and discounts at partner restaurants. Mobility Support: Choose eco-friendly transportation! As we take our responsibility for the environment seriously, we support your climate-friendly transportation costs.",LinkedIn Playwright/Selenium,
2026-03-02T15:43:25.000Z,Metalshub sucht Quality Assurance Engineer (m/f/d) in Düsseldorf,https://de.linkedin.com/jobs/view/quality-assurance-engineer-m-f-d-at-metalshub-4377757978,"About Us Metalshub is transforming the way metals and ferroalloys are bought and sold. We provide a digital B2B supply chain solution for metals & mining companies to unlock value in their daily operations and decision-making. With now more than 1350+ companies in 100+ countries trusting our innovative product, Metalshub strives to become the leading supply chain solution for the global metals industry. Our team is made up of experienced industry and digital business executives, relentlessly working towards our vision: Becoming the globally leading platform for the metals and ferroalloys community. We are backed by successful international business angels and VCs sharing the passion for our vision. Now we want you to join our team! We are looking for an experienced QA Engineer who is passionate about SaaS/Marketplaces and startups, who is ready to overtake the test strategy of our development lifecycle. Your mission Partner with Product + Engineering early to clarify requirements, edge cases, and acceptance criteria. Analyze and interpret business requirements and end-user feedback and apply analysis to the testing process. Plan, develop, document and implement test cases/plans based on existing specifications and technical requirements. Build automation test frameworks and tools. Build and execute test automation scripts. Perform user interface, functional, integration and regression testing. Your Skillset You bring 2+ years of Quality Engineering experience in manual and automated testing, preferably in a startup. You never settle for mediocrity and are driven by the ambition to excellence. Your strong understanding of QA methodology and the Software Development Life-cycle combines perfectly with your eye for details. You bring experience in using JavaScript, Python any other programming language for test automation. You have strong communication skills in English language (speaking and writing). Experience in Jenkins, Cypress, Angular or Django are a plus. Our promise An exciting and involving role with a big impact on shaping the future of the metals industry Experience a steep learning curve through intense autonomy and training possibilities Talented and highly experienced colleagues from around the world Competitive compensation, flexible working hours and the possibility of working from home Highly enjoyable culture and regular team events Working with our latest standard tech stack If you want to invest in a company pension scheme, Metalshub contributes with 20% of employee's investment sum of their pension (Betriebliche Altersvorsorge) Contact You share our excitement? We are looking forward to hearing from you!",LinkedIn Playwright/Selenium,
2026-03-02T15:23:56.000Z,Scopevisio Content Solutions sucht QA-Engineer (m/w/d) in Bonn,https://de.linkedin.com/jobs/view/qa-engineer-m-w-d-at-scopevisio-content-solutions-4378831645,"Dies Sind Deine Aufgaben Verantwortung für die Entwicklung und Implementierung von umfassenden Testkonzepten zur Sicherstellung der Softwarequalität Planung, Durchführung und Auswertung von automatisierten und manuellen Tests, um die Stabilität und Performance unserer Produkte zu gewährleisten Weiterentwicklung und Pflege von automatisierten Tests mit Ranorex oder Playwright, sowie Identifikation von Optimierungsmöglichkeiten Enge Zusammenarbeit mit der Entwicklungsabteilung, um die Testbarkeit neuer Funktionen frühzeitig zu gewährleisten Analyse und Dokumentation von Testergebnissen sowie Verfolgung und Reporting von Defects Unterstützung bei der Einführung und Optimierung neuer Testmethoden und -werkzeuge zur Steigerung der Testeffizienz Mitgestaltung der Qualitätssicherungsprozesse und Schulung von Teammitgliedern im Bereich Testing und Qualitätssicherung Das Solltest Du Mitbringen Abgeschlossenes Studium der Informatik, Wirtschaftsinformatik oder eine vergleichbare Qualifikation Mehrjährige Berufserfahrung in der Qualitätssicherung, idealerweise mit Fokus auf Testautomatisierung Fundierte Kenntnisse in der Anwendung von Testautomatisierungstools, vorzugsweise Ranorex oder Playwright Praktische Erfahrungen in der Programmierung mit C#, JavaScript oder einer anderen Programmiersprache Ausgeprägtes analytisches Denkvermögen und eine strukturierte, lösungsorientierte Arbeitsweise Teamfähigkeit, Kommunikationsstärke und ein hohes Maß an Eigenverantwortung Kenntnisse in agilen Methoden (z.B. Scrum, Kanban) sind von Vorteil Deutschkenntnisse auf mindestens C1-Niveau Das Bieten Wir Dir Startup-Kultur: Bei uns treffen Dynamik, Innovation und schnelle Entscheidungen auf Teamplayer und Visionäre Hilfe, Austausch und Unterstützung durch ein Team aus Produkt- und Prozessexperten Individuelles und begleitetes Onboarding mit Coaching- und Reflexionsmöglichkeiten durch Deine Fachabteilung Einen der schönsten Standorte Bonns - direkt am Rhein! Attraktive und leistungsgerechte Vergütung Vielfältige Möglichkeiten zur persönlichen Weiter- & Karriereentwicklung Corporate Benefits - Portal für Mitarbeiterangebote Tolle Mitarbeiterevents und die besten Kolleg:innen der Welt, verteilt auf viele Standorte Zahlreiche attraktive Benefits innerhalb der Unternehmensgruppe Flexible Arbeitszeitmodelle und die Möglichkeit des mobilen Arbeitens",LinkedIn Playwright/Selenium,
2026-03-02T14:12:32.000Z,"Talon.One sucht QA Engineer (Mid/Senior) in Berlin, Deutschland",https://de.linkedin.com/jobs/view/qa-engineer-mid-senior-at-talon-one-4366738457,"ABOUT TALON.ONE: Talon.One is the most powerful incentives engine that unifies loyalty, promotions and gamification into one holistic platform. Backed by enterprise-grade security and scalability, Talon.One empowers companies to build personalized, profitable promotions and loyalty programs using any data. Today, over 250 of the world’s most-loved brands including Adidas, Sephora and Carlsberg work with Talon.One to drive deeper engagement and lasting loyalty with their customers. ABOUT THE TEAM: Our Research and Development department is made up of cross-functional teams of Developers, Interaction Designers, QA Engineers, and Documentation specialists, all collaborating under the guidance of Product and Engineering Managers. Each team owns a specific area of our platform. We work with relative autonomy, encourage original ideas, foster professional growth, and believe that quality at every stage is of utmost importance. We’re looking for a QA Engineer who will be an advocate for quality from the very start of the development process. In this role, you’ll collaborate closely with all functions to shape testing strategies, ask the right questions early, and ensure that robust test coverage exists as features are developed. Rather than merely focusing on testing completed changes, you’ll embed quality into our development process, championing best practices, improving test automation, and ensuring that great software is continuously delivered. ONCE YOU ARE HERE YOU WILL: Become an expert in the Talon.One product, and the foremost expert in the area for which your team is responsible. Collaborate with product, design, and engineering functions to ensure our delivered features are consistently of a high quality. Set the test strategy, engage critically with all functions from the outset of each feature. Ensure we have design and behavioral consistency between features, and strong, efficient test coverage at every level. Determine which test scenarios should be included in our suite of end-to-end automated tests, and implement those using Cypress. Willingness to proactively help junior Quality Engineers, provide timely feedback, and guide them to success. Contribute to Mentorship Programs and onboarding new joiners. WHAT WE NEED YOU TO BRING TO THE TABLE: Ability to communicate effectively and clearly in English, and precisely describe complex interactions Ability to architect a strong Test Strategy Strong track record in advocating for quality at all levels of development process 3 - 6+ years of experience delivering quality web applications with test automation, including REST APIs/GraphQL ABOUT TECHNOLOGY: Kubernetes running on Google Cloud PostgreSQL Golang for our API, core logic, and internal tooling TypeScript, React, Redux, and CSS modules for our web application Cypress for automated end-to-end testing WHAT'S IN IT FOR YOU: A Research and Development Department of 100+ of engineers, product managers and product designers in Berlin Leaders with 8+ years of experience building our promotions engine €1,000 annual learning budget, full LinkedIn Learning access, and free German language courses to boost your skills 30 days of annual leave, plus extra paid days for your birthday and moving day Home office setup budget, a monthly home office allowance Freedom to work from abroad for up to 90 days worldwide! Mental health support with nilo.health and a discounted Urban Sports Club membership 20% company subsidy on your pension contributions BVG public transport ticket and welcome your furry friend in our dog-friendly Berlin office! Lease your ideal bike through BusinessBike",LinkedIn Playwright/Selenium,
2026-03-02T12:21:33.000Z,adjoe sucht QA Analyst (f/m/d) in Hamburg,https://de.linkedin.com/jobs/view/qa-analyst-f-m-d-at-adjoe-4377732219,"adjoe is redefining the future of mobile ads. Powered by advanced AI, first-party data and world-class engineers, we’ve perfected the offerwall experience for monetizing and scaling app publishers with solutions like Playtime and Arcade – now the fastest growing rewarded advertising channel globally – driving incremental engagement, retention, and revenue. At the same time, we’re breaking into programmatic advertising with the intelligent bidding system of adjoe Ads. Together, this ecosystem connects app developers to over 600 million users worldwide for scalable growth. Backed by a $100 million investment from Bertelsmann and operating from offices in Hamburg, Boston, Singapore, and Tokyo, adjoe is defining the next stages of app and ad experience – right now. Join us. We’re looking for a QA Analyst who combines strong manual and exploratory testing skills with a growing interest in automation. This role is ideal for someone who takes ownership of quality, thinks beyond test cases, and wants to help scale automation while ensuring product stability. You will work closely with Product, Engineering, and Data teams to ensure our platform delivers a reliable, high-performance experience for our customers. What You Will Do: Manual & Exploratory Testing (Primary Focus) Design and execute structured and exploratory test cases for new features Validate complex user journeys across frontend and backend Test APIs, dashboards, and data-driven features Perform regression testing before releasesIdentify edge cases and risk areas early Document clear, reproducible bug reports in Jira Automation (Growing Responsibility) Contribute to UI and API test automation (e.g., Playwright / Cypress / Postman) Identify critical regression flows to automate Maintain and improve existing automated test suites Support CI/CD integration of automated tests Quality Ownership Participate in refinement and sprint planning from a QA perspective Help define acceptance criteria and test strategies Improve documentation and test coverage Proactively identify quality risks before release Who you are: 3+ years of experience in QA (manual expertise + automation exposure) Strong exploratory testing skills Experience testing APIs /Basic SQL knowledge for data validation and BE testing Solid understanding of regression testing strategies Clear and structured bug documentation skills Experience with test management tools (e.g., Jira) (Nice to have): Experience with Playwright (Nice to have): API automation experience (Nice to have): CI/CD exposure (Nice to have): Experience in SaaS, AdTech, or performance marketing environment Fuel for the Journey: Benefits to Support Your Ambitions Invest in Your Future: Regular feedback and our development program support your growth, helping you expand your skill set and achieve your career goals. Easy Arrival to adjoe: From signing to settling in Hamburg, we’ve got you covered. Need a visa? No problem. Ready to build your new life and career at adjoe in Hamburg? We support every ambition—from learning German to a relocation bonus that helps you make Hamburg feel like home. Live Your Best Life, at Work and Beyond: We work in a hybrid setup with core office days on Monday, Tuesday, and Thursday, plus flexible working hours. Enjoy 30 vacation days, 3 weeks of remote work per year, and free access to an in-house gym with lots of different fitness classes and mental health support through our Employee Assistance Program (EAP). Thrive Where You Work: Enjoy the Alster lake view from our central office with top-notch equipment, fun open spaces, and a large variety of snacks and drinks. Join the Community! Participate in regular team and company events, including hackathons and social gatherings. We work together, and we celebrate together, too.",LinkedIn Playwright/Selenium,
2026-02-25T15:13:16.000Z,"Scopevisio AG söker QA-Engineer (m/w/d) i Bonn, Nordrhen-Västfalen, Tyskland",https://de.linkedin.com/jobs/view/qa-engineer-m-w-d-at-scopevisio-ag-4375235423,"SCOPEVISIO: Eine neue Softwaregeneration – cloudbasiert | integriert | automatisiert Simplify your daily business. Mit einem hoch engagierten Team entwickelt und vertreibt die Scopevisio AG seit 2007 eine Cloud-Unternehmenssoftware (ERP) für den Mittelstand und deckt dabei die Märkte Deutschland und Österreich ab. Alle wichtigen Geschäftsprozesse für die Unternehmenssteuerung sind in einer zentralen Cloud-Lösung integriert: Finanzen, Controlling, Buchhaltung, Beschaffung, Personal, Vertrieb sowie Dokumentenmanagement. Mit dem Einsatz moderner Technologien wie KI und Sprachsteuerung automatisieren und vereinfachen wir Unternehmensprozesse, um unsere Kund:innen für die digitale Zukunft auszurüsten. Zur Verstärkung unseres wachsenden Teams und Geschäfts suchen wir engagierte Persönlichkeiten, Mitdenker und Mitgestalter! Dies sind Deine Aufgaben: Verantwortung für die Entwicklung und Implementierung von umfassenden Testkonzepten zur Sicherstellung der Softwarequalität Planung, Durchführung und Auswertung von automatisierten und manuellen Tests, um die Stabilität und Performance unserer Produkte zu gewährleisten Weiterentwicklung und Pflege von automatisierten Tests mit Ranorex oder Playwright, sowie Identifikation von Optimierungsmöglichkeiten Enge Zusammenarbeit mit der Entwicklungsabteilung, um die Testbarkeit neuer Funktionen frühzeitig zu gewährleisten Analyse und Dokumentation von Testergebnissen sowie Verfolgung und Reporting von Defects Unterstützung bei der Einführung und Optimierung neuer Testmethoden und -werkzeuge zur Steigerung der Testeffizienz Mitgestaltung der Qualitätssicherungsprozesse und Schulung von Teammitgliedern im Bereich Testing und Qualitätssicherung Das solltest Du mitbringen: Abgeschlossenes Studium der Informatik, Wirtschaftsinformatik oder eine vergleichbare Qualifikation Mehrjährige Berufserfahrung in der Qualitätssicherung, idealerweise mit Fokus auf Testautomatisierung Fundierte Kenntnisse in der Anwendung von Testautomatisierungstools, vorzugsweise Ranorex oder Playwright Praktische Erfahrungen in der Programmierung mit C#, JavaScript oder einer anderen Programmiersprache Ausgeprägtes analytisches Denkvermögen und eine strukturierte, lösungsorientierte Arbeitsweise Teamfähigkeit, Kommunikationsstärke und ein hohes Maß an Eigenverantwortung Kenntnisse in agilen Methoden (z.B. Scrum, Kanban) sind von Vorteil Deutschkenntnisse auf mindestens C1-Niveau Das bieten wir Dir: Startup–Kultur: Bei uns treffen Dynamik, Innovation und schnelle Entscheidungen auf Teamplayer und Visionäre Hilfe, Austausch und Unterstützung durch ein Team aus Produkt– und Prozessexperten Individuelles und begleitetes Onboarding mit Coaching– und Reflexionsmöglichkeiten durch Deine Fachabteilung Einen der schönsten Standorte Bonns - direkt am Rhein! Attraktive und leistungsgerechte Vergütung Vielfältige Möglichkeiten zur persönlichen Weiter– & Karriereentwicklung Corporate Benefits - Portal für Mitarbeiterangebote Tolle Mitarbeiterevents und die besten Kolleg:innen der Welt, verteilt auf viele Standorte Zahlreiche attraktive Benefits innerhalb der Unternehmensgruppe Flexible Arbeitszeitmodelle und die Möglichkeit des mobilen Arbeitens Die Scopevisio AG zählt zu den erfolgreichsten Cloud–ERP-Anbietern in Deutschland . Seit 2007 entwickeln wir cloudbasierte Unternehmenssoftware für den Mittelstand. Unsere große Leidenschaft für neue Technologien und der Mut, neue Wege zu gehen, zeichnen uns aus. Wir sind davon überzeugt, dass Unternehmenssoftware im Zeitalter der Digitalisierung neu erfunden werden muss. Gefragt sind mobile, flexible und hochautomatisierte Lösungen. Genau die entwickeln wir – damit Unternehmen für die digitale Zukunft gerüstet sind! Hersteller und Anbieter von Cloud Unternehmenssoftware Geschäftsmodell als IT–Versorger (SaaS & PaaS & IaaS) Hauptsitz Bonn, Standorte von Tochterfirmen in Wuppertal, Halle (Westf.), Trier, Kaltenkirchen (bei Hamburg) und Wien Bei der Scopevisio AG arbeiten rund 105 Mitarbeitende, in der gesamten Unternehmensgruppe rund 300 Der Umsatz lag 2024 bei > 32 Mio. € Über 7.000 B2B–Kunden",LinkedIn Playwright/Selenium,
2026-02-25T10:24:42.000Z,Assemblio sucht QA Engineer in Stuttgart,https://de.linkedin.com/jobs/view/qa-engineer-at-assemblio-4376728345,"Your Responsibilities As a QA Engineer at Assemblio , you are responsible for ensuring the quality, stability, and reliability of our SaaS platform. You design and execute testing strategies that guarantee our product meets the highest standards before reaching our customers. Together with a motivated, cross-functional team, you ensure that new features are not only innovative but also robust and production-ready. You… define and implement a comprehensive QA strategy focusing on reliability and performance. design, develop, and maintain automated tests (unit, integration, and end-to-end tests). execute manual and exploratory testing where automation is not applicable. collaborate closely with Backend, Frontend, DevOps, and Product teams to ensure end-to-end quality. build and maintain CI/CD-integrated testing pipelines to ensure continuous quality assurance. analyze test results, document defects clearly, and track them through resolution. ensure regression stability and oversee release validation processes. contribute to improving testing standards, frameworks, and quality processes across the engineering team. Your Impact at Assemblio As a QA Engineer, you play a crucial role in safeguarding the quality of our platform. You are the quality advocate within our development lifecycle and ensure that features meet both technical and user expectations. By working closely with Engineering, Product Management, and DevOps, you help establish a strong quality culture and continuously improve our development processes. You are a key enabler for product stability, customer trust, and sustainable growth. What You Bring Several years of experience as a QA Engineer, Software Tester, or similar role in a SaaS environment Strong experience with automated testing frameworks (e.g. Cypress, Jest, or similar) Solid understanding of API testing (REST, gRPC) and integration testing Experience working with CI/CD pipelines and modern development environments Familiarity with containerized environments Experience with test management tools and structured defect tracking Strong analytical thinking and a structured, solution-oriented working style Team-oriented mindset with excellent communication skills Very good English skills; German is a plus",LinkedIn Playwright/Selenium,
