Date,Title,Link,Description,Source,Generated
2026-03-05T10:59:25.000Z,exmox GmbH sucht Team Lead - Quality Assurance (f/m/x) in Hamburg,https://de.linkedin.com/jobs/view/team-lead-quality-assurance-f-m-x-at-exmox-gmbh-4278927670,"Your mission This is a company built for growth. At exmox, you’ll work on real systems on a big scale. We build high-performing consumer products used by millions of users, operating in a highly competitive, global mobile gaming ecosystem. Our products are data-driven by design - powered by event-driven architectures, complex business logic, and fast feedback loops. Decisions are informed by data, experimentation, and measurable impact, not gut feeling. We’re scaling fast and building one of the most exciting innovations in mobile gaming: rewarded user acquisition. That means distributed systems, evolving architectures, and problems that don’t have textbook answers. As a QA Lead (f/m/x) , you will guide the QA strategy, actively improve testing practices, and ensure product quality aligns with both technical and business goals. If you’re excited by complex systems, high traffic, data-driven decisions, and the chance to grow by solving challenging problems, we want to hear from you. What You’ll Own Team leadership & mentoring You mentor and coach QA engineers, supporting their technical growth and professional development through regular 1:1s and structured performance reviews. You lead QA team meetings, coordinate testing efforts, and communicate quality status and risks to stakeholders, fostering a culture of quality ownership and continuous improvement. Test strategy & execution You lead the development and execution of test plans, test cases, and automated test scripts. You drive the implementation of automated testing within CI/CD pipelines and collaborate with development teams to provide early, proactive feedback on product quality and testability. Defect management & root cause analysis You identify, document, and manage software defects across multiple environments and platforms. You monitor test results, perform root cause analysis, and ensure issues are tracked and resolved efficiently, participating in code reviews to advocate for clean, reliable releases. Process improvement & QA scaling You continuously improve and scale QA methodologies, workflows, and documentation across teams. You partner with product and engineering leadership to align QA priorities with business goals and delivery timelines. Your profile Proven QA & leadership experience You have 4 - 6 years of experience in software QA, including at least 2 years in a lead position, mentoring teams and driving QA strategy. Automated testing & CI/CD expertise Hands-on experience with automated testing frameworks such as Cypress, Selenium, or Playwright, and familiarity with CI/CD tools like GitHub Actions, Jenkins, or GitLab CI. Agile collaboration & problem-solving Experience working in Agile/Scrum teams, collaborating closely with cross-functional stakeholders. Strong problem-solving skills, attention to detail, and ownership mindset. Communication & team development You communicate clearly, proactively engage with developers and stakeholders, and support your team’s growth through coaching and mentorship. Education & domain knowledge Bachelor’s degree in Computer Science, Information Technology, or a related field. Nice to have Experience in Ad-Tech, performance marketing, or large-scale digital platforms. Why us? Ambitious people, real ownership. You’ll work with driven, entrepreneurial people who care deeply about what they deliver, challenge each other openly, and own outcomes together. We’re playing at the top, but we’re not done. Our apps rank in the top 5 of their categories. We’re determined to push further, compete harder, and earn the number one spot. You own your own growth. Growth doesn’t happen by accident. At exmox, learning is built into the work - through responsibility, feedback, and real challenges. Perks that help you focus on what matters. Transport subsidy, learning budget, wellness and gym, workation, bi-weekly team lunches, and more. The perks are great - but the real reason people join and stay is the challenge, the people, and the drive to win together. Please note: this is not a remote only position, we offer you a flexible hybrid model here in Hamburg, Germany - working from home on Mondays & Fridays, coming to the office on Tuesday, Wednesday & Thursday! :) About Us We are exmox, a Hamburg-based user acquisition partner helping mobile gaming companies, and brands across other industries, scale and engage their audiences sustainably. Our innovative business model focuses on rewarded advertising, allowing users to earn rewards for engaging with client apps, driving higher engagement and revenue. Our products are available across DACH, the US, UK, Canada, Australia & New Zealand, Scandinavia, Benelux, and France, in partnership with a wide range of industry leaders in the mobile gaming space. With 120+ employees from 25+ nationalities, we are a diverse, collaborative, and experienced team, always looking to welcome new colleagues who want to grow with us. We look forward to meeting you!",LinkedIn Playwright/Selenium,Done
2026-03-04T10:16:05.000Z,SECJUR sucht Working Student QA Engineering with AI focus (all genders) in Hamburg,https://de.linkedin.com/jobs/view/working-student-qa-engineering-with-ai-focus-all-genders-at-secjur-4379431520,"Who We Are Quality isn't a brake. It's the engine. Since 2018, SECJUR has been building the future of compliance: with our AI-powered Digital Compliance Office (DCO), we help companies implement regulatory requirements like ISO 27001, GDPR, NIS2, and the AI Act in a structured and scalable way. What used to take weeks, our customers now accomplish in hours, thanks to intelligent automation and a platform that makes compliance genuinely accessible. Keeping the DCO running smoothly takes people who don't just demand quality, but actively create it. People who work with modern AI tools, build automated test coverage, and help shape our engineering culture from the inside. We are looking for a Working Student in QA Engineering (m/f/d) starting as soon as possible — up to 20 hours/week, remote or hybrid in Hamburg or Lisbon. Your role at SECJUR You're not an observer, you're a builder. As a QA Working Student, you'll help construct our automated testing infrastructure from the ground up. You'll work with modern AI coding tools, write real tests that run in our production environment, and help make our weekly releases reliable and safe. There are no pre-written test plans waiting for you here. You get real ownership: from analysing features to developing tests to integrating them into our CI/CD pipeline. That's what makes this role exciting, and that's exactly what we're looking for! Your creative field Test Development & Automation Write end-to-end and integration tests using Playwright and cutting-edge MCP interfaces Use AI assistants (Claude, Copilot, Cursor, etc.) to accelerate test creation and maintenance Build reusable test patterns and fixtures for common workflows Test Infrastructure Set up and maintain AI-driven test environments Integrate automated tests into CI/CD pipelines (GitHub Actions) Track test coverage and systematically identify gaps Release & Quality Cycle Work in weekly release cycles: validate new user stories, identify edge cases, and ensure production readiness Translate newly released features into automated regression coverage Report and track defects in collaboration with Product and Development Collaboration Participate in selected team meetings and standups Work with developers to understand feature requirements and define test scenarios Contribute a QA perspective to acceptance criteria and definition of done Your profile Currently enrolled in Computer Science, Software Engineering, or a related degree programme Basic programming skills in Python, TypeScript, or similar You actively use AI tools (Codex, ChatGPT, Claude, Copilot, Cursor, or similar) for coding and problem-solving Systematic thinking: you can break a feature down into testable scenarios Self-driven: you take ownership and find solutions without waiting for detailed instructions Location: Hamburg or Lisbon Nice to have: Exposure to test frameworks (Playwright, Cypress, Selenium, or similar) Familiarity with CI/CD concepts (GitHub Actions, pipelines) Interest in compliance, security, or SaaS products Experience with Linux / command line Don't tick every box? No problem. If you bring curiosity, a builder mindset, and a genuine appetite for real responsibility, we're a great fit. Your Benefits With Us Hands-on experience building a QA function from scratch at a growing compliance tech company Direct mentorship from senior engineers Real ownership: your tests run in production pipelines from day one Flexible working hours compatible with your studies A modern, AI-first engineering culture Remote or hybrid in our Hamburg or Lisbon office (Hamburg-based: up to one office day per week) Competitive Working Student salary Potential for thesis collaboration or a full-time role after graduation Further information on the recruiting process and how to contact us Sound like a role where you'll take on real responsibility while learning what modern AI-assisted engineering looks like? We'd love to meet you. Send us your CV — along with a few lines about yourself and, if available, links to projects or code samples — to karriere@secjur.com About Us You can find more information on our career page.",LinkedIn Playwright/Selenium,Done
2026-03-04T07:14:28.000Z,ISO-Gruppe sucht Quality Assurance Engineer (m/w/d) in Bonn,https://de.linkedin.com/jobs/view/quality-assurance-engineer-m-w-d-at-iso-gruppe-4358570111,"Du bist auf der Suche nach einer neuen beruflichen Herausforderung? Als inhabergeführter IT-Dienstleister sind wir seit über 40 Jahren am Markt präsent und ein vertrauenswürdiger Partner für unsere Kunden aus verschiedenen Branchen, darunter dem Gesundheitssektor. Bei uns erwartet Dich ein freundliches Team, innovative Arbeitsmethoden und zahlreiche Digitalisierungsprojekte. Komm an Bord und verstärke unser Team zum nächstmöglichen Zeitpunkt, idealerweise zum 15.03.2026 oder 01.04.2026 , als Quality Assurance Engineer (m/w/d) mit einem flexiblen Homeoffice-Anteil. Deine Aufgaben Qualitätssicherung innerhalb der Projekte verantworten sowie die Einhaltung definierter Qualitätsstandards und Testprozesse sicherstellen Manuelle und automatisierte Tests planen, erstellen und durchführen und so die Software-Qualität über alle Entwicklungsphasen hinweg sicherstellen Anforderungen analysieren und geeignete Testfälle ableiten Funktions-, Integrations-, System- und Regressionstests durchführen Beim Defect Management und der Abnahme von Software-Lösungen unterstützen Teststrategien pflegen und weiterentwickeln und Risiken im Entwicklungsprozess bewerten Dein Profil Ein erfolgreich abgeschlossenes Studium der Informatik oder eine vergleichbare Ausbildung mit relevanter Berufserfahrung Mehrjährige Berufserfahrung als Software Tester (m/w/d) im Bereich Testautomatisierung mit Tools wie Playwright, Selenium oder Cypress Erfahrung im Testdesign, mit Testmanagement Tools (z. B. Zephyr, Xray oder TestRail), Bugtracking (z. B. Jira), Erstellung von Testkonzepten und Testdokumentationen Erfahrung im API-Testing (z. B. Postman), Performance-Testing (z. B. JMeter), CI/CD-Anbindung von Tests, Kenntnisse in BDD (z. B. Cucumber) sowie Kenntnisse in Cloud-Umgebungen von Vorteil Bereitschaft für gelegentliche Geschäftsreisen (bis zu 1-2 Tage im Monat, in der Regel seltener) zum Kundenstandort in Bonn und die restlichen Arbeitstage aus dem Homeoffice oder aber einem unserer Standorte zu arbeiten Sehr gute Deutschkenntnisse Unser Angebot Eine unbefristete Anstellung in einem familiengeführten Unternehmen Umfassende Weiterbildungsmöglichkeiten für Deine berufliche Entwicklung wie z. B. Fachkonferenzen, Workshops, Barcamps Vielfältige innovative Themen sowie der Einsatz neuester Werkzeuge und Methoden machen die ISO-Gruppe abwechslungsreich, krisenfest und zukunftsfähig Zahlreiche Events wie Weihnachtsfeier und Sommerfest, um sich mit Kollegen aus anderen Teams und Standorten zu vernetzen Familienfreundliche Personalpolitik, flache Hierarchien und verantwortungsvolle Aufgaben für größtmögliche persönliche und fachliche Freiheit Bringe Deine Expertise, neuen Ideen und Impulse in die ISO-Gruppe ein und bewirb Dich unter Angabe Deiner Kündigungsfrist und Gehaltsvorstellung.",LinkedIn Playwright/Selenium,Done
2026-03-03T23:09:57.000Z,Haystack sucht Junior QA Tester in Metropolregion Berlin/Brandenburg,https://de.linkedin.com/jobs/view/junior-qa-tester-at-haystack-4379465933,"Junior Test Automation Engineer (m/w/d) | Berlin, Germany | Hybrid We're seeking a Junior Test Automation Engineer to join a leading outsourcing service provider specializing in billing and debtor management, known for its significant market presence in Germany. This is an exciting opportunity to contribute to a company at the forefront of digital communication services. The Role • Develop and maintain automated test scripts • Execute test cases and analyze results • Collaborate with development teams to ensure quality • Identify and report defects effectively • Contribute to the improvement of testing processes What You'll Need • Basic understanding of software testing methodologies • Some experience with test automation tools (e.g., Selenium, Playwright) • Ability to write clear and concise test documentation • Strong problem-solving skills • Eagerness to learn and grow in an agile environment What's On Offer • Opportunity to work with a leading company in its field • Hybrid work model offering flexibility • Contribute to critical business functions • Professional development within a dynamic team Important Information • Candidates must be based within reasonable commuting distance of Berlin. • Candidates must have the legal right to work in Germany. • Professional working proficiency in German is required. Apply via Haystack today!",LinkedIn Playwright/Selenium,Done
2026-03-03T16:53:35.000Z,"Almedia sucht QA Engineer in Berlin, Deutschland",https://de.linkedin.com/jobs/view/qa-engineer-at-almedia-4339366784,"This isn’t your regular job. Almedia is a place where those who want to push harder can accelerate their careers faster than anywhere else. We’re aiming to become Germany’s second bootstrapped unicorn. Almedia is already Europe’s #3 fastest-growing company in 2025 (FT1000). We are building the future of marketing by rewarding our community of over 60 million users for engaging with our advertisers’ products. We are offering a new way to acquire users for the biggest companies in the world. At Almedia, You’ll Own way more, way earlier — you’ll be trusted with responsibility fast. Push harder, get further — this isn’t a 9–5. We highly reward intensity. Join a rare environment — you will work with ambitious high-speed, high-ownership people. Fully present — we’re 5 days a week in the office to build the energising momentum we need. QA Engineer Our team is on a mission to deliver outstanding software, and we're looking for a curious and detail-oriented QA Engineer to join us on this journey! If you love digging into products, advocating for users, and want to grow your career with a supportive team, we think you'll feel right at home here. As a vital member of our product team, you'll be the guardian of our quality, ensuring that we ship amazing, reliable features to our users. What You’ll Do 🎯 Become a product expert, meticulously testing our web and mobile apps to ensure every feature is polished and intuitive for our users. Be the user's champion. You'll partner with Product Managers to understand the 'why' behind features, making sure our testing is always focused on creating the best possible experience. Help us learn and iterate faster by validating A/B tests and other experiments, ensuring the data we collect is accurate and reliable. Be a detective! You'll hunt down, document, and track bugs, working closely with developers to see them squashed. Grow with us. You won't just be testing; you'll be learning and contributing to our test automation efforts using modern tools like Cypress or Playwright. Be an active voice in our team's rhythm, participating in daily stand-ups, sprint planning, and retrospectives. What You’ll Bring 💡 Around 2 years of experience in a software testing role. A solid understanding of QA fundamentals (you know your way around functional, regression, and exploratory testing). Familiarity with tools that help teams stay organised, like Linear.app, AI testing tools, or GitLab before. Some exposure to a scripting language like JavaScript or TypeScript (curiosity is more important than expertise!). Experience with product analytics tools like Amplitude. What Makes You a Great Fit 🌟 You're deeply product-oriented. You naturally put yourself in the user's shoes and are always thinking about how to make the product better. You have a genuine curiosity for how things work and are excited to dive into test automation and new technologies. You believe the best work happens when we do it together. You communicate openly, ask questions, and value different perspectives. You thrive in a dynamic, agile environment where you can make a real impact. Why Almedia? 🚀 Own Our Growth: We offer all Berlin-based employees equity in Almedia to truly be a part of our success. Scale With Almedia: Grow alongside a startup that has been profitable from day one. Central Berlin Office: Work from a fully-stocked modern office built for collaboration, accessible from all around Berlin. Other Benefits: Transport subsidy, breakfasts and lunches, language learning, Urban Sports Club, and more. We believe in fostering talent, evaluating all skill levels during the hiring process, and providing a clear path for growth. Almedia is an equal opportunity employer. We embrace and celebrate diversity, and encourage individuals from all backgrounds to apply.",LinkedIn Playwright/Selenium,Done
2026-03-03T14:55:54.000Z,apo.com Group sucht QA Engineer (m/w/d) in Markkleeberg,https://de.linkedin.com/jobs/view/qa-engineer-m-w-d-at-apo-com-group-4378504266,"Werde Teil unseres Teams und gestalte die Gesundheitsversorgung von morgen! Qualität. Struktur. Verlässlichkeit. Du willst Software nicht nur testen, sondern aktiv zur Qualität unserer Produkte beitragen? Als QA Engineer (m/w/d) stellst du gemeinsam mit Entwicklung und Product Management sicher, dass unsere Anwendungen stabil, performant und nutzerfreundlich sind. Wir suchen eine Persönlichkeit, die manuelles Testen souverän beherrscht und gleichzeitig praktische Erfahrung in der Testautomatisierung mit Cypress mitbringt. Deine Aufgaben bei uns Prüfen. Automatisieren. Optimieren. Testkonzeption: Erstellung von Testplänen, Testfällen und Testscripten zur Sicherstellung einer hohen Produktqualität Manuelles & automatisiertes Testing: Durchführung von Funktions-, Regressions- und End-to-End-Tests – sowohl manuell als auch automatisiert mit Cypress Fehleranalyse: Identifikation, Dokumentation und strukturierte Nachverfolgung von Bugs und Issues Automatisierungsstrategie: Pflege und Weiterentwicklung bestehender Testautomatisierungs-Frameworks sowie Ausbau der Automatisierungsabdeckung Prozessintegration: Enge Zusammenarbeit mit Entwickler:innen und Product Manager:innen, um Testing frühzeitig in den Entwicklungsprozess zu integrieren Dokumentation & Reporting: Transparente Aufbereitung und Kommunikation von Testergebnissen Qualitätsentwicklung: Kontinuierliche Verbesserung von Testpraktiken und aktiver Beitrag zur übergreifenden Qualitätsstrategie Das bringst du mit Testexpertise. Detailgenauigkeit. Teamgeist. Erfahrung: Mehrjährige Erfahrung als QA Engineer mit Fokus auf manuelles und automatisiertes Testing Automatisierung: Praktische Erfahrung mit Testautomatisierungstools, wie z.B. Cypress Technologieverständnis: Kenntnisse in HTML, CSS, JavaScript sowie modernen Web-Frameworks CI/CD-Know-how: Erfahrung mit der Integration automatisierter Tests in CI/CD-Pipelines Methodenkompetenz: Gutes Verständnis von Softwareentwicklungszyklen (SDLC), Testmethoden und QA-Best Practices Arbeitsweise: Selbstständig, strukturiert und lösungsorientiert – mit einem hohen Qualitätsanspruch Kommunikation: Sehr gute schriftliche und mündliche Kommunikationsfähigkeiten Nice to have Erfahrung mit API-Testing-Tools (z. B. Postman, REST-assured) Kenntnisse in Cloud-Umgebungen und Deployment-Prozessen Erfahrung mit Versionsverwaltungssystemen wie Git Das bieten wir dir Safety First: Einen unbefristeten Arbeitsvertrag Flexibilität: Moderne Arbeitsumgebung, flexible Arbeitszeiten und ein internationales Team Work Location: 0-100% Remote Work innerhalb Deutschlands, ganz deinem Wunsch entsprechend Gute Arbeit zahlt sich aus: Eine leistungsgerechte Vergütung Happy Holiday: 30 Tage Urlaub pro Jahr Es gibt immer etwas zu lernen: Schulungen, Workshops und Side-By-Side-Coaching, wir unterstützen dich bei deiner Weiterentwicklung Fit durch die Freizeit: JobRad-Kooperation, kostenlose Nutzung unseres firmeneigenen Fitnessraums Nachhaltig unterwegs: Kostenfreie Nutzung unserer E-Ladesäulen am Standort Markkleeberg Weitere Benefits: Sehr gute Sozialleistungen u.a. mit eigener, subventionierter Kantine, Corporate Benefits, kostenfreier Getränkeversorgung (Tee, Kaffee, Softgetränke), Personalrabatte, moderner Ausrüstung, Team- und Firmenevents u.v.m. Wir freuen uns auf deine aussagekräftige Bewerbung, in der du uns auch deinen Gehaltswunsch und dein mögliches Eintrittsdatum mitteilst. Über uns Die apo.com Group ist eine der führenden Online-Apotheken im deutschen Markt mit drei Standorten in Europa. Wir stehen für Innovation und Nachhaltigkeit gepaart mit einer ausgeprägten Leidenschaft für intelligente Technologien und Digitalisierung. Dafür setzen wir auf pharmazeutische Kompetenz, innovative digitale Services und KI gestützte Logistik Technologie. Wir unterstützen Menschen dabei, gesund zu werden und gesund zu bleiben.",LinkedIn Playwright/Selenium,Done
2026-03-03T00:00:00.000Z,mobilistics GmbH recrute pour des postes de QA Engineer (Vollzeit) (m/w/d) (Allemagne),https://de.linkedin.com/jobs/view/qa-engineer-vollzeit-m-w-d-at-mobilistics-gmbh-4341920008,Publié il y a 19:05:18. Ihre AufgabenTestfälle erstellen und durchführen (manuell und automatisiert)Bug-Reports… Voir ceci ainsi que d’autres offres d’emploi similaires sur LinkedIn.,LinkedIn Playwright/Selenium,Done
2026-03-02T17:52:34.000Z,Netconomy sucht Quality Assurance Specialist (f/m/x) in Berlin,https://de.linkedin.com/jobs/view/quality-assurance-specialist-f-m-x-at-netconomy-4377780826,"As a leading expert for Digital Platform Building and Customer Experience Innovation, NETCONOMY is shaping the digital leadership of its clients. We help brands to build flexible and scalable digital platforms, with top-notch technologies by SAP, Google Cloud and Microsoft Azure. NETCONOMY has 20 years of experience and employs close to 500 professionals across Europe. By introducing and driving innovation initiatives around customer experience, we support clients on the road of expanding their core business in the digital world. Over the past 25 years, NETCONOMY has grown from a startup into a team of 450+ experts across ten European locations. We believe in the power of agile and cross-functional collaboration, bringing together people from diverse backgrounds to build outstanding digital solutions. YOUR JOB We are looking for a Senior Release & Quality Assurance Specialist to steer and own quality within our project teams. In this role, you will collaborate closely with both the team and the client, taking ownership of quality in projects that do not have dedicated testing roles. You will be responsible for developing and implementing quality strategies based on project and client needs, proactively driving improvements, and mitigating potential quality risks. Your expertise in test automation, release management, and quality management will be instrumental in ensuring high-quality standards throughout the entire Software Development Life Cycle (SDLC). Your Job’s Key Responsibilities Are Defining the quality strategy based on the project vision and quality goals Planning and executing the releasing process as well as consulting the client on different releasing strategies Driving Test Automation including a fitting strategy and contributing hands-on to API, Load and UI tests Collaborating closely with the client on quality and identified defects Driving our model for Quality Assurance within the team and project to identify improvement potentials and risks Tracking and forecasting of relevant quality metrics, implementing corrective actions to support continuous improvement and steering the quality based on facts Contributing to the development of the department by sharing knowhow and collaborating with its department members Your Skills Essential Skills 5+ years of professional experience in IT or software development area Fluent communication skills in German (C1) and English (B2/C1) In-depth understanding of the differences between quality control, quality assurance, and quality management Extensive expertise in implementing and managing quality assurance processes throughout the project lifecycle Profound practical experience in test automation (e.g. using Cypress/Playwright, Gatling/jMeter, restAssured) Professional handling of stakeholders Beneficial Skills First hands-on experience with AI in the area of test automation and increasing your efficiency Broad working experience with agile development processes (SCRUM, KANBAN, etc.) Solid skills in programming Relevant certifications in the quality testing field (e.g. ISTQB) OUR OFFER While we’re one company, each location has unique aspects and benefits. Here’s a glimpse of what to expect: Flexible Working Models: Early bird or night owl? Thanks to our flexible working models, you start your workday when and where it fits you best. Plus, our hybrid work option lets you choose whether you prefer working more from the office or from home. Career Development and Onboarding: Start your journey at NETCONOMY with a structured onboarding and mentoring phase and continue with individual training opportunities. Our People Enablement team will support you in finding the best solution for you! Company Summit: Exchange professional and personal experiences at our annual in-house conference! One of the highlights of our company Summit is the vibrant networking environment it cultivates. Social Events: Join our colleagues and build new connections at our social events such as pizza evenings, sports activities, Christmas parties, or milestone celebrations. Snacks and Wellbeing: Fuel your productivity and taste buds with our monthly meal allowance and discounts at partner restaurants. Mobility Support: Choose eco-friendly transportation! As we take our responsibility for the environment seriously, we support your climate-friendly transportation costs.",LinkedIn Playwright/Selenium,Done
2026-03-02T17:52:34.000Z,Netconomy sucht Quality Assurance Specialist (f/m/x) in Dortmund,https://de.linkedin.com/jobs/view/quality-assurance-specialist-f-m-x-at-netconomy-4377788677,"As a leading expert for Digital Platform Building and Customer Experience Innovation, NETCONOMY is shaping the digital leadership of its clients. We help brands to build flexible and scalable digital platforms, with top-notch technologies by SAP, Google Cloud and Microsoft Azure. NETCONOMY has 20 years of experience and employs close to 500 professionals across Europe. By introducing and driving innovation initiatives around customer experience, we support clients on the road of expanding their core business in the digital world. Over the past 25 years, NETCONOMY has grown from a startup into a team of 450+ experts across ten European locations. We believe in the power of agile and cross-functional collaboration, bringing together people from diverse backgrounds to build outstanding digital solutions. YOUR JOB We are looking for a Senior Release & Quality Assurance Specialist to steer and own quality within our project teams. In this role, you will collaborate closely with both the team and the client, taking ownership of quality in projects that do not have dedicated testing roles. You will be responsible for developing and implementing quality strategies based on project and client needs, proactively driving improvements, and mitigating potential quality risks. Your expertise in test automation, release management, and quality management will be instrumental in ensuring high-quality standards throughout the entire Software Development Life Cycle (SDLC). Your Job’s Key Responsibilities Are Defining the quality strategy based on the project vision and quality goals Planning and executing the releasing process as well as consulting the client on different releasing strategies Driving Test Automation including a fitting strategy and contributing hands-on to API, Load and UI tests Collaborating closely with the client on quality and identified defects Driving our model for Quality Assurance within the team and project to identify improvement potentials and risks Tracking and forecasting of relevant quality metrics, implementing corrective actions to support continuous improvement and steering the quality based on facts Contributing to the development of the department by sharing knowhow and collaborating with its department members Your Skills Essential Skills 5+ years of professional experience in IT or software development area Fluent communication skills in German (C1) and English (B2/C1) In-depth understanding of the differences between quality control, quality assurance, and quality management Extensive expertise in implementing and managing quality assurance processes throughout the project lifecycle Profound practical experience in test automation (e.g. using Cypress/Playwright, Gatling/jMeter, restAssured) Professional handling of stakeholders Beneficial Skills First hands-on experience with AI in the area of test automation and increasing your efficiency Broad working experience with agile development processes (SCRUM, KANBAN, etc.) Solid skills in programming Relevant certifications in the quality testing field (e.g. ISTQB) OUR OFFER While we’re one company, each location has unique aspects and benefits. Here’s a glimpse of what to expect: Flexible Working Models: Early bird or night owl? Thanks to our flexible working models, you start your workday when and where it fits you best. Plus, our hybrid work option lets you choose whether you prefer working more from the office or from home. Career Development and Onboarding: Start your journey at NETCONOMY with a structured onboarding and mentoring phase and continue with individual training opportunities. Our People Enablement team will support you in finding the best solution for you! Company Summit: Exchange professional and personal experiences at our annual in-house conference! One of the highlights of our company Summit is the vibrant networking environment it cultivates. Social Events: Join our colleagues and build new connections at our social events such as pizza evenings, sports activities, Christmas parties, or milestone celebrations. Snacks and Wellbeing: Fuel your productivity and taste buds with our monthly meal allowance and discounts at partner restaurants. Mobility Support: Choose eco-friendly transportation! As we take our responsibility for the environment seriously, we support your climate-friendly transportation costs.",LinkedIn Playwright/Selenium,Done
2026-03-02T15:43:25.000Z,Metalshub sucht Quality Assurance Engineer (m/f/d) in Düsseldorf,https://de.linkedin.com/jobs/view/quality-assurance-engineer-m-f-d-at-metalshub-4377757978,"About Us Metalshub is transforming the way metals and ferroalloys are bought and sold. We provide a digital B2B supply chain solution for metals & mining companies to unlock value in their daily operations and decision-making. With now more than 1350+ companies in 100+ countries trusting our innovative product, Metalshub strives to become the leading supply chain solution for the global metals industry. Our team is made up of experienced industry and digital business executives, relentlessly working towards our vision: Becoming the globally leading platform for the metals and ferroalloys community. We are backed by successful international business angels and VCs sharing the passion for our vision. Now we want you to join our team! We are looking for an experienced QA Engineer who is passionate about SaaS/Marketplaces and startups, who is ready to overtake the test strategy of our development lifecycle. Your mission Partner with Product + Engineering early to clarify requirements, edge cases, and acceptance criteria. Analyze and interpret business requirements and end-user feedback and apply analysis to the testing process. Plan, develop, document and implement test cases/plans based on existing specifications and technical requirements. Build automation test frameworks and tools. Build and execute test automation scripts. Perform user interface, functional, integration and regression testing. Your Skillset You bring 2+ years of Quality Engineering experience in manual and automated testing, preferably in a startup. You never settle for mediocrity and are driven by the ambition to excellence. Your strong understanding of QA methodology and the Software Development Life-cycle combines perfectly with your eye for details. You bring experience in using JavaScript, Python any other programming language for test automation. You have strong communication skills in English language (speaking and writing). Experience in Jenkins, Cypress, Angular or Django are a plus. Our promise An exciting and involving role with a big impact on shaping the future of the metals industry Experience a steep learning curve through intense autonomy and training possibilities Talented and highly experienced colleagues from around the world Competitive compensation, flexible working hours and the possibility of working from home Highly enjoyable culture and regular team events Working with our latest standard tech stack If you want to invest in a company pension scheme, Metalshub contributes with 20% of employee's investment sum of their pension (Betriebliche Altersvorsorge) Contact You share our excitement? We are looking forward to hearing from you!",LinkedIn Playwright/Selenium,Done
